Thu Aug 28 04:00:00 +0000 2014, 4382988, 1577257, 2641052, 850643, 783553, 757906
Tue May 28 04:00:00 +0000 2013, 4536541, 1034678, 2546440, 540097, 228448, 565918
Mon Sep 29 04:00:00 +0000 2014, 4238532, 1471364, 2477355, 914032, 704429, 677595
Wed May 1 04:00:00 +0000 2013, 4550369, 1029508, 2545459, 526224, 226679, 563615
Sat Jun 29 04:00:00 +0000 2013, 4368611, 969746, 2456216, 469891, 265340, 486156
Tue Sep 2 04:00:00 +0000 2014, 4266120, 1484314, 2524632, 866062, 707695, 715673
Sat Mar 2 05:00:00 +0000 2013, 1, 0, 1, 0, 0, 0
Sun Jun 2 04:00:00 +0000 2013, 4729965, 1162979, 2690033, 508504, 292113, 593756
Sat Oct 4 04:00:00 +0000 2014, 4218049, 1423957, 2440761, 842818, 736046, 705889
Mon May 6 04:00:00 +0000 2013, 4560529, 1018107, 2555940, 535254, 236940, 567430
Thu Jul 4 04:00:00 +0000 2013, 4453119, 1016849, 2497108, 535750, 260492, 513089
Sun Sep 7 04:00:00 +0000 2014, 4409875, 1530191, 2585317, 863915, 757081, 681881
Mon Jan 2 05:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Thu Mar 7 05:00:00 +0000 2013, 1, 0, 0, 0, 0, 0
Fri Jun 7 04:00:00 +0000 2013, 4483887, 978657, 2501291, 542202, 235230, 561398
Thu Oct 9 04:00:00 +0000 2014, 4180916, 1436373, 2423536, 933375, 693863, 738006
Tue Jul 9 04:00:00 +0000 2013, 4820673, 1114012, 2758343, 572447, 268280, 566220
Fri Sep 12 04:00:00 +0000 2014, 4130950, 1409944, 2390434, 867515, 717630, 759637
Wed Jun 12 04:00:00 +0000 2013, 4392534, 1011353, 2502819, 489511, 245559, 506647
Tue Oct 14 04:00:00 +0000 2014, 4329255, 1521182, 2543325, 940203, 720512, 816642
Sun Jul 14 04:00:00 +0000 2013, 4620592, 1104335, 2611503, 515257, 289200, 538208
Fri Apr 13 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Mon Jun 17 04:00:00 +0000 2013, 4537791, 1043109, 2564982, 526503, 250001, 542736
Thu Aug 15 04:00:00 +0000 2013, 4825978, 1114362, 2768587, 579793, 298359, 609322
Sun Oct 19 04:00:00 +0000 2014, 4409006, 1564514, 2615144, 847153, 763731, 795383
Fri Jul 19 04:00:00 +0000 2013, 4675413, 1067474, 2624390, 590421, 271266, 567042
Sat Jun 22 04:00:00 +0000 2013, 4397381, 987449, 2457128, 483936, 260735, 502941
Tue Aug 20 04:00:00 +0000 2013, 4749272, 1115250, 2689970, 579559, 308424, 583148
Fri Oct 24 04:00:00 +0000 2014, 4127250, 1440910, 2389138, 952901, 705285, 794833
Wed Dec 21 05:00:00 +0000 2011, 1, 0, 0, 1, 0, 0
Thu Mar 22 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 1
Wed Jul 24 04:00:00 +0000 2013, 4927047, 1164106, 2805584, 583734, 286640, 628114
Sun Jan 22 05:00:00 +0000 2012, 1, 0, 0, 0, 0, 1
Sun Aug 25 04:00:00 +0000 2013, 5103155, 1266937, 2841705, 511873, 337705, 624745
Wed Oct 29 04:00:00 +0000 2014, 4267645, 1480119, 2473338, 991966, 726193, 830231
Tue Mar 27 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 1
Mon Jul 29 04:00:00 +0000 2013, 4806235, 1123502, 2739709, 581660, 301179, 565648
Sat Apr 28 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Fri Aug 30 04:00:00 +0000 2013, 4588238, 1034595, 2544319, 575512, 287785, 563627
